id,left,top,right,bottom,mas_Premonsoon,mas_Postmonsoon,sph_Premonsoon,sph_Postmonsoon,mas_premon,mas_postmon
306,75.5,13.75,75.75,13.5,-80.1391,166.173,-53.2059,69.585,-60.4635,167.333
305,75.5,14,75.75,13.75,-120.551,172.438,-55.3506,73.9313,-61.8239,180.286
304,75.5,14.25,75.75,14,-117.746,209.865,-57.0263,74.3235,-63.6061,169.581
303,75.5,14.5,75.75,14.25,-105.381,207.267,-61.6886,72.7497,-78.1657,170.513
302,75.5,14.75,75.75,14.5,-105.867,213.428,-70.3629,70.398,-87.6072,169.286
301,75.5,15,75.75,14.75,-106.606,211.284,-70.9035,64.4981,-129.594,144.15
300,75.5,15.25,75.75,15,-140.558,189.963,-90.0677,66.1328,-139.649,138.7
299,75.5,15.5,75.75,15.25,-140.524,186.621,-89.6099,72.1812,-146.021,161.231
298,75.5,15.75,75.75,15.5,-116.594,202.153,-91.5178,73.999,-123.601,168.637
297,75.5,16,75.75,15.75,-137.142,201.541,-84.92,70.4914,-147.348,143.059
296,75.5,16.25,75.75,16,-123.684,210.689,-90.5368,77.7139,-159.651,138.72
295,75.5,16.5,75.75,16.25,-130.08,200.961,-95.5329,86.5414,-160.416,143.863
294,75.5,16.75,75.75,16.5,-140.906,199.09,-86.4972,93.5734,-168.071,139.955
293,75.5,17,75.75,16.75,-172.826,191.108,-89.1692,99.1171,-175.244,139.654
292,75.5,17.25,75.75,17,-206.033,170.533,-88.2202,102.321,-173.578,127.169
291,75.5,17.5,75.75,17.25,-177.263,175.528,-84.2359,99.0949,-174.89,138.373
290,75.5,17.75,75.75,17.5,-185.28,177.435,-89.1688,99.8261,-143.697,137.917
289,75.5,18,75.75,17.75,-173.168,172.992,-83.3212,105.705,-141.872,154.919
288,75.5,18.25,75.75,18,-169.626,174.511,-87.8343,104.664,-146.617,178.164
287,75.5,18.5,75.75,18.25,-186.67,179.444,-94.8646,108.131,-176.307,184.881
286,75.5,18.75,75.75,18.5,-184.184,193.541,-102.215,117.727,-23.0619,116.719
336,75.75,13.25,76,13,-54.8853,214.454,-42.1076,57.5735,-48.2655,114.724
335,75.75,13.5,76,13.25,-50.5992,231.733,-51.5665,59.3001,-52.7286,131.621
334,75.75,13.75,76,13.5,-58.5916,227.318,-52.2647,57.8425,-58.4249,138.343
333,75.75,14,76,13.75,-83.3709,223.627,-53.6233,60.7188,-47.5742,128.189
332,75.75,14.25,76,14,-92.668,224.244,-53.717,60.2179,-58.7903,118.937
331,75.75,14.5,76,14.25,-75.1889,216.593,-60.9937,58.878,-69.5815,118.362
330,75.75,14.75,76,14.5,-89.5129,227.467,-63.5781,55.8114,-65.3528,124.028
329,75.75,15,76,14.75,-108.129,223.316,-65.3703,57.3251,-72.1587,115.029
